folder,file,isCopy,title,size,printer,version,lastBy,forms,bytes
ADAMS,2PTS BF_BNLS BEEF CLOD FIO-2 MM  _20#  JAINE - Copy,true,2PTS BF_BNLS BEEF CLOD FIO-2 MM  _20#  JAINE - Copy,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,93164
ADAMS,2PTS BF_BNLS BEEF CLOD FIO-2 MM  _20#  JAINE,false,2PTS BF_BNLS BEEF CLOD FIO-2 MM  _20#  JAINE,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,93484
ADAMS,2PTS BF_BNLS BEEF CLOD FIO-2.5MM_20# JAINE,false,2PTS BF_BNLS BEEF CLOD FIO-2MM_20#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,94915
ADAMS,2PTS BF_BNLS BEEF CLOD FIO-4.5MM_20# JAINE,false,2PTS BF_BNLS BEEF CLOD FIO-2MM_20#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,96985
ADAMS,2PTS BF_BNLS BEEF CLOD HEART 40#,false,2PTS BF_BNLS BEEF CLOD FIO-2MM_20#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,118742
ADAMS,2PTS BF_FEMUR BONE_50#,false,BF_FEMUR BONE_50#,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,82549
ADAMS,2PTS BF_WAGYU_BEEF BONE_50# - Copy,true,BF_WAGYU_BEEF BONE_50# - Copy,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,85024
ADAMS,2PTSBF_WAGYU_BEEF BONE_50# - Copy,true,BF_WAGYU_BEEF BONE_50# - Copy,"4"" x 6""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,85035
ADAMS,BF CROSS RIB ROLL CUT SLICE_SHABU -,false,RIB EYE SLICE CONTAINER_SHABU_no packs.CATCH_1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,1150004
ADAMS,BF SHORT PLATE ROLL CUT SLICE_SHABU -,false,RIB EYE SLICE CONTAINER_SHABU_no packs.CATCH_1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,1143812
